A40926|BGC0000289.1|CAD91211.1|dbv16_A1|Dpg|A7
MQUQ01000006|Amycolatopsis|OLZ52456.1|_A1|Dpg|A6,0.182
MQUP01000022|Amycolatopsis|OLZ50886.1|_A1|Dpg|A6,0.178,0.095
Ristocetin|BGC0000418.1|AIE77060.1|_A1|Dpg|A7,0.165,0.117,0.091
LIWC01000005|Amycolatopsis|OKJ93017.1|_A1|Dpg|A5,0.17,0.129,0.091,0.022
Ristomycin|BGC0000419.1|AIG79240.1|_A1|Dpg|A7,0.174,0.133,0.095,0.025,0.003
LOBU02000007|Amycolatopsis|OKA09425.1|_A1|Dpg|A7,0.223,0.191,0.17,0.149,0.149,0.153
AOHO01000074|Amycolatopsis|EME52988.1|_A1|Dpg|A7,0.178,0.153,0.125,0.113,0.121,0.125,0.069
Vancomycin|BGC0000455.1|AEI58867.1|vcm4_A1|Dpg|A7,0.187,0.145,0.129,0.113,0.121,0.125,0.073,0.019
MUXN01000025|Amycolatopsis|OOC02326.1|_A1|Dpg|A6,0.174,0.098,0.121,0.098,0.102,0.106,0.141,0.113,0.11
ANMG01000033|ANMG01000033|EMD26453.1|_A1|Dpg|A7,0.174,0.098,0.121,0.098,0.102,0.106,0.141,0.113,0.11,0
Balhimycin|BGC0000311.1|CAC48362.1|bpsC_A1|Dpg|A7,0.182,0.157,0.153,0.125,0.137,0.141,0.084,0.087,0.095,0.121,0.121
KC688274|Streptomyces|AGO98986.1|_A1|Dpg|A7,0.182,0.157,0.187,0.133,0.153,0.149,0.191,0.157,0.165,0.145,0.145,0.165
AJ223999|AJ223999|CAA11796.1|_A1|Dpg|A7,0.174,0.106,0.153,0.102,0.113,0.11,0.153,0.117,0.11,0.076,0.076,0.11,0.121
Chloroeremomycin|BGC0000322.1|CAA11796.1|_A1|Dpg|A7,0.174,0.106,0.153,0.102,0.113,0.11,0.153,0.117,0.11,0.076,0.076,0.11,0.121,0
EU874253|Uncultured|ACJ60991.1|teg8_A1|Dpg|A7,0.133,0.121,0.133,0.121,0.137,0.141,0.165,0.121,0.133,0.117,0.117,0.137,0.106,0.095,0.095
HM486075|Uncultured|ADU56091.1|_A1|Dpg|A7,0.129,0.11,0.121,0.08,0.095,0.098,0.121,0.091,0.102,0.084,0.084,0.091,0.08,0.069,0.069,0.069
KF264565|Uncultured|AGS49964.1|_A1|Dpg|A7,0.149,0.137,0.157,0.117,0.141,0.137,0.17,0.137,0.149,0.121,0.121,0.141,0.073,0.095,0.095,0.084,0.059
Pekiskomycin|JX026280|AGF91756.1|pek21_A1|Dpg|A7,0.149,0.125,0.145,0.102,0.125,0.121,0.161,0.129,0.141,0.11,0.11,0.133,0.069,0.087,0.087,0.076,0.052,0.035
A47934|BGC0000290.1|AAM80536.1|_A1|Dpg|A7,0.256,0.237,0.266,0.251,0.266,0.271,0.306,0.261,0.266,0.256,0.256,0.281,0.256,0.237,0.237,0.204,0.209,0.241,0.218
AJ632270|Actinoplanes|CAG15012.1|teiD_A1|Dpg|A7,0.191,0.209,0.2,0.178,0.191,0.196,0.256,0.213,0.218,0.209,0.209,0.218,0.187,0.182,0.182,0.149,0.161,0.174,0.17,0.161
Teicoplanin|BGC0000440.1|CAE53353.1|tcp12_A1|Dpg|A7,0.191,0.209,0.2,0.178,0.191,0.196,0.256,0.213,0.218,0.209,0.209,0.218,0.187,0.182,0.182,0.149,0.161,0.174,0.17,0.161,0
UK-68597|BGC0001178.1|AGS77310.1|_A1|Dpg|A7,0.241,0.165,0.218,0.204,0.223,0.227,0.246,0.196,0.204,0.191,0.191,0.209,0.191,0.165,0.165,0.145,0.153,0.178,0.174,0.178,0.095,0.095
LOBU02000007|Amycolatopsis|OKA09423.1|_A1|Leu|A1,0.612,0.723,0.679,0.688,0.714,0.714,0.723,0.662,0.679,0.761,0.761,0.67,0.679,0.688,0.688,0.636,0.67,0.688,0.679,0.705,0.679,0.679,0.688
AOHO01000074|Amycolatopsis|EME52990.1|_A1|Leu|A1,0.62,0.67,0.679,0.662,0.688,0.688,0.714,0.653,0.653,0.714,0.714,0.662,0.662,0.662,0.662,0.628,0.628,0.662,0.645,0.662,0.653,0.653,0.688,0.17
Vancomycin|BGC0000455.1|AEI58865.1|vcm2_A1|Leu|A1,0.67,0.714,0.679,0.714,0.723,0.723,0.742,0.67,0.67,0.733,0.733,0.705,0.696,0.714,0.714,0.67,0.679,0.714,0.696,0.733,0.742,0.742,0.733,0.178,0.121
AJ223999|AJ223999|CAA11794.1|_A1|Leu|A1,0.653,0.679,0.636,0.653,0.679,0.679,0.705,0.636,0.653,0.714,0.714,0.653,0.67,0.662,0.662,0.604,0.653,0.688,0.653,0.67,0.645,0.645,0.645,0.191,0.174,0.204
Chloroeremomycin|BGC0000322.1|CAA11794.1|_A1|Leu|A1,0.653,0.679,0.636,0.653,0.679,0.679,0.705,0.636,0.653,0.714,0.714,0.653,0.67,0.662,0.662,0.604,0.653,0.688,0.653,0.67,0.645,0.645,0.645,0.191,0.174,0.204,0
Balhimycin|BGC0000311.1|CAC48360.1|bpsA_A1|Leu|A1,0.588,0.679,0.662,0.645,0.679,0.679,0.679,0.628,0.662,0.714,0.714,0.636,0.62,0.653,0.653,0.588,0.62,0.628,0.628,0.653,0.612,0.612,0.636,0.196,0.178,0.209,0.17,0.17
MQUP01000022|Amycolatopsis|BS330_28385|_A1|Hpg|A1,0.514,0.558,0.55,0.521,0.528,0.528,0.558,0.507,0.528,0.573,0.573,0.5,0.5,0.528,0.528,0.479,0.479,0.536,0.507,0.565,0.536,0.536,0.521,0.301,0.281,0.286,0.286,0.286,0.286
