,Balhimycin,UK-68597,LIWC01000005,JMGX01000001,HM486075,MQUQ01000006,JJNO01000005,MQUP01000022,Ristocetin,KC688274,Teicoplanin,Chloroeremomycin,ANMG01000033,AOHO01000074,KF264565,Vancomycin,A40926,ANSJ01000022,MUXN01000025,EU874253,LOBU02000007,A47934,Ristomycin,LGSP01000035,JNAD01000004,Complestatin,Pekiskomycin
Balhimycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UK-68597,0.506483333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LIWC01000005,0.428552083333,0.243535714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JMGX01000001,0.901529761905,0.489275,0.8677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HM486075,0.368138888889,0.262072916667,0.139095238095,0.855340909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MQUQ01000006,0.3174375,0.336739583333,0.210297619048,0.8519,0.106416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JJNO01000005,0.901529761905,0.489275,0.8677,0.0,0.855340909091,0.8519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MQUP01000022,0.321375,0.340708333333,0.209083333333,0.85245,0.11005952381,0.0310416666667,0.85245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ristocetin,0.37675,0.275572916667,0.11980952381,0.857090909091,0.0361428571429,0.108130952381,0.857090909091,0.108023809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KC688274,0.527725,0.381650793651,0.44771875,0.648885281385,0.495883333333,0.457694444444,0.648885281385,0.460388888889,0.500558333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Teicoplanin,0.506058333333,0.0307142857143,0.237357142857,0.48725,0.260760416667,0.337302083333,0.48725,0.337583333333,0.270479166667,0.38153968254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chloroeremomycin,0.0235,0.505558333333,0.427114583333,0.902133928571,0.36525,0.3155625,0.902133928571,0.321375,0.375333333333,0.52555,0.505583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ANMG01000033,0.372583333333,0.272760416667,0.144702380952,0.856409090909,0.0355357142857,0.106952380952,0.856409090909,0.112952380952,0.0389642857143,0.499083333333,0.270260416667,0.369805555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AOHO01000074,0.0316785714286,0.508408333333,0.429020833333,0.902154761905,0.371277777778,0.32159375,0.902154761905,0.32228125,0.376388888889,0.527525,0.506958333333,0.0305714285714,0.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KF264565,0.524925,0.379373015873,0.44621875,0.649044372294,0.494133333333,0.455611111111,0.649044372294,0.458138888889,0.499458333333,0.0198928571429,0.378734126984,0.5227,0.497633333333,0.526075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Vancomycin,0.0357857142857,0.508733333333,0.429177083333,0.901550595238,0.372861111111,0.32203125,0.901550595238,0.32240625,0.376888888889,0.528175,0.506883333333,0.035,0.371916666667,0.0125357142857,0.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A40926,0.615939393939,0.289808035714,0.41440625,0.45015,0.402611111111,0.508305555556,0.45015,0.509722222222,0.409111111111,0.530725,0.283870535714,0.615848484848,0.411,0.616757575758,0.53145,0.616371212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ANSJ01000022,0.896121428571,0.47721875,0.8609375,0.121428571429,0.847555555556,0.8421875,0.121428571429,0.8429375,0.849166666667,0.641531746032,0.4726875,0.897321428571,0.848944444444,0.897446428571,0.641337301587,0.897296428571,0.44040625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MUXN01000025,0.31603125,0.339145833333,0.21269047619,0.85205,0.106095238095,0.0345,0.85205,0.0415,0.106773809524,0.456388888889,0.337645833333,0.31290625,0.077380952381,0.3159375,0.454777777778,0.31528125,0.509583333333,0.8425625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EU874253,0.370444444444,0.262291666667,0.14155952381,0.854931818182,0.02125,0.10630952381,0.854931818182,0.112916666667,0.0402857142857,0.498008333333,0.261447916667,0.367083333333,0.0411071428571,0.374333333333,0.495633333333,0.375694444444,0.402583333333,0.84775,0.110666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LOBU02000007,0.02975,0.509933333333,0.430677083333,0.902800595238,0.372055555556,0.323375,0.902800595238,0.32490625,0.378722222222,0.528775,0.508908333333,0.0318214285714,0.372527777778,0.024,0.527,0.0274285714286,0.617712121212,0.898996428571,0.31596875,0.375333333333,0.0,0.0,0.0,0.0,0.0,0.0,0
A47934,0.477875,0.130589285714,0.33559375,0.467055555556,0.348916666667,0.3055,0.467055555556,0.30896875,0.356333333333,0.355527777778,0.131370535714,0.476175,0.357083333333,0.47895,0.353944444444,0.479875,0.336416666667,0.476625,0.31109375,0.346888888889,0.481275,0.0,0.0,0.0,0.0,0.0,0
