,Balhimycin,UK-68597,LIWC01000005,AF386507,JMGX01000001,HM486075,MQUQ01000006,JJNO01000005,MQUP01000022,AJ632270,Ristocetin,EU874253,KC688274,Teicoplanin,Chloroeremomycin,ANMG01000033,AOHO01000074,KF264565,A40926,ANSJ01000022,MUXN01000025,Vancomycin,LOBU02000007,AJ223999,A47934,Ristomycin,LGSP01000035,JNAD01000004,Complestatin,Pekiskomycin
Balhimycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UK-68597,0.507558333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LIWC01000005,0.429708333333,0.245571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AF386507,0.904842261905,0.493725,0.871675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JMGX01000001,0.902571428571,0.491475,0.8688,0.0923928571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HM486075,0.369111111111,0.263166666667,0.140488095238,0.861113636364,0.857272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MQUQ01000006,0.318875,0.337895833333,0.210761904762,0.85675,0.853725,0.10705952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JJNO01000005,0.902571428571,0.491475,0.8688,0.0923928571429,0.0,0.857272727273,0.853725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MQUP01000022,0.32190625,0.342270833333,0.209869047619,0.8566,0.854175,0.111416666667,0.0330833333333,0.854175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJ632270,0.507558333333,0.0333928571429,0.240571428571,0.491825,0.489575,0.262666666667,0.339083333333,0.489575,0.339552083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ristocetin,0.378416666667,0.278197916667,0.120380952381,0.862136363636,0.858477272727,0.0380714285714,0.109202380952,0.858477272727,0.110202380952,0.274041666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EU874253,0.3715,0.262947916667,0.14255952381,0.860409090909,0.856590909091,0.0213214285714,0.106952380952,0.856590909091,0.114238095238,0.262979166667,0.0419285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KC688274,0.528525,0.38253968254,0.448875,0.651771645022,0.650317099567,0.496258333333,0.458111111111,0.650317099567,0.461111111111,0.383261904762,0.501283333333,0.498258333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
